commenter,responds_to,is_root_comment,post_id,created_utc,score
bot_canillita,matchettehdl,True,qegzhl,1635034748.0,1
Geosgaeno,matchettehdl,True,qegzhl,1635108529.0,1
ThatwasGibberish,dantecapybara,False,qegzhl,1635035531.0,12
matchettehdl,yernidef,False,qegzhl,1635036678.0,-7
dantecapybara,ThatwasGibberish,False,qegzhl,1635035556.0,7
Fenris_uy,matchettehdl,False,qegzhl,1635075008.0,6
agustin_lm2000,jak2wook,True,qef7s4,1635029113.0,12
The-H007,jak2wook,True,qef7s4,1635031825.0,11
averagelorplayer,jak2wook,True,qef7s4,1635029883.0,9
rusiita1990,jak2wook,True,qef7s4,1635031172.0,3
jak2wook,jak2wook,True,qef7s4,1635031766.0,3
morellexf22,jak2wook,True,qef7s4,1635034628.0,2
arpanonn,jak2wook,True,qef7s4,1635060247.0,2
jak2wook,jak2wook,True,qef7s4,1635028852.0,1
_denebola_,jak2wook,True,qef7s4,1635035625.0,1
ELCORSA,jak2wook,True,qef7s4,1635030905.0,0
KingDiamondURU666,jak2wook,True,qef7s4,1635032307.0,0
jak2wook,agustin_lm2000,False,qef7s4,1635030675.0,4
Zedr1k,agustin_lm2000,False,qef7s4,1635036687.0,1
Grincheck,jak2wook,False,qef7s4,1635036120.0,3
gmuslera,JustForTheToast,True,qedc9g,1635026784.0,7
tumonypimba,JustForTheToast,True,qedc9g,1635027919.0,7
empleadoEstatal,JustForTheToast,True,qedc9g,1635023618.0,5
Ok_Marsupial_9722,JustForTheToast,True,qedc9g,1635027515.0,3
Estebanm95,JustForTheToast,True,qedc9g,1635024247.0,2
oxyc,goncri,True,qedc3r,1635023912.0,33
DesdeMarte,goncri,True,qedc3r,1635043918.0,15
juanipl,goncri,True,qedc3r,1635025126.0,13
Enchilada_McMustang,goncri,True,qedc3r,1635048712.0,12
AspectWrong391,goncri,True,qedc3r,1635028038.0,26
FefiyoBread,goncri,True,qedc3r,1635023986.0,20
RouCitizen,goncri,True,qedc3r,1635022899.0,14
No_Amoeba6892,goncri,True,qedc3r,1635035411.0,11
M4nch1,goncri,True,qedc3r,1635081303.0,4
GFischerUY,goncri,True,qedc3r,1635029444.0,10
FedeFSA,goncri,True,qedc3r,1635030487.0,17
Kamika7e,goncri,True,qedc3r,1635032636.0,7
leojg,goncri,True,qedc3r,1635023622.0,33
AdmiralKeg,goncri,True,qedc3r,1635027555.0,16
That_Specialist8913,goncri,True,qedc3r,1635080736.0,2
agustinow,goncri,True,qedc3r,1635083952.0,2
Julie-1996,goncri,True,qedc3r,1635088220.0,2
nonameuy,goncri,True,qedc3r,1635088331.0,2
BorderFlock,goncri,True,qedc3r,1635026269.0,17
guille_ur,goncri,True,qedc3r,1635024248.0,9
NdepotiUgTijuinem,goncri,True,qedc3r,1635028949.0,4
calarval,goncri,True,qedc3r,1635081934.0,4
dantecapybara,goncri,True,qedc3r,1635022634.0,3
qwemateo13,goncri,True,qedc3r,1635023012.0,-19
Brunopolis,goncri,True,qedc3r,1635043756.0,-5
todobanners,goncri,True,qedc3r,1635111321.0,1
Overall-Reference-37,goncri,True,qedc3r,1635080553.0,-2
agsuy,oxyc,False,qedc3r,1635098560.0,2
goncri,oxyc,False,qedc3r,1635024059.0,0
gnza,juanipl,False,qedc3r,1635041109.0,3
LeoBelmont037,juanipl,False,qedc3r,1635028057.0,2
UruGUY98,AspectWrong391,False,qedc3r,1635029750.0,5
Curious_Parsley,AspectWrong391,False,qedc3r,1635043910.0,4
orasio,AspectWrong391,False,qedc3r,1635079890.0,3
LowWindow7816,AspectWrong391,False,qedc3r,1635028352.0,0
Nachostti,FefiyoBread,False,qedc3r,1635028320.0,16
goncri,FefiyoBread,False,qedc3r,1635024161.0,14
kurvo_kain,No_Amoeba6892,False,qedc3r,1635090581.0,0
UruGUY98,GFischerUY,False,qedc3r,1635041219.0,3
Automatic_Ad8878,Kamika7e,False,qedc3r,1635054863.0,2
Hernan_OF,leojg,False,qedc3r,1635026808.0,5
mattxmanson,leojg,False,qedc3r,1635043964.0,2
Harmonious_capybara,AdmiralKeg,False,qedc3r,1635080227.0,2
alotropico,BorderFlock,False,qedc3r,1635029087.0,14
goncri,guille_ur,False,qedc3r,1635024285.0,17
yernidef,guille_ur,False,qedc3r,1635027841.0,14
martintcm,dantecapybara,False,qedc3r,1635024520.0,25
dantecapybara,dantecapybara,False,qedc3r,1635022951.0,15
MattKerplunk,qwemateo13,False,qedc3r,1635024689.0,25
averagelorplayer,qwemateo13,False,qedc3r,1635026112.0,21
etesz,qwemateo13,False,qedc3r,1635025046.0,11
AntiJotape,qwemateo13,False,qedc3r,1635033039.0,10
dekkerpeterson,qwemateo13,False,qedc3r,1635023688.0,12
empleadoEstatal,qwemateo13,False,qedc3r,1635024007.0,6
SopaDoMacaco,Brunopolis,False,qedc3r,1635047402.0,5
DissociatedRacoon,Brunopolis,False,qedc3r,1635071255.0,5
Specific-Benefit,Brunopolis,False,qedc3r,1635080228.0,5
martintcm,Brunopolis,False,qedc3r,1635053427.0,1
Brunopolis,Brunopolis,False,qedc3r,1635112615.0,1
oxyc,goncri,False,qedc3r,1635024499.0,15
juanipl,gnza,False,qedc3r,1635047157.0,1
juanipl,LeoBelmont037,False,qedc3r,1635029425.0,5
AspectWrong391,UruGUY98,False,qedc3r,1635029879.0,11
